county_name,md_count_year,md_allergy_count,md_anesth_count,md_card_count,md_derm_count,md_emerg_med_count,md_fammed_count,md_gastr_count,md_genintmed_count,md_gen_surg_count,md_neuro_count,md_obgyn_count,md_ophth_count,md_psych_count,md_spec_count,md_surg_spec_count,all_gp_md_count,md_child_psych_count,md_gen_ped_count,census_year,census_count,popn_est_year,popn_est_count
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2020,35237,2022,36215
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2020,35237,2021,35828
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2010,34457,2022,36215
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2010,34457,2021,35828
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2020,35237,2022,36215
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2020,35237,2021,35828
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2010,34457,2022,36215
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2010,34457,2021,35828
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2020,57777,2022,59495
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2020,57777,2021,58629
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2010,57833,2022,59495
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2010,57833,2021,58629
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2020,57777,2022,59495
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2020,57777,2021,58629
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2010,57833,2022,59495
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2010,57833,2021,58629
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2020,57777,2022,59495
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2020,57777,2021,58629
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2010,57833,2022,59495
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2010,57833,2021,58629
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2020,152199,2022,153704
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2020,152199,2021,152765
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2010,153923,2022,153704
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2010,153923,2021,152765
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2020,152199,2022,153704
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2020,152199,2021,152765
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2010,153923,2022,153704
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2010,153923,2021,152765
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2020,152199,2022,153704
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2020,152199,2021,152765
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2010,153923,2022,153704
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2010,153923,2021,152765
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2020,16800,2022,17417
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2020,16800,2021,17165
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2010,17535,2022,17417
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2010,17535,2021,17165
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2020,16800,2022,17417
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2020,16800,2021,17165
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2010,17535,2022,17417
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2010,17535,2021,17165
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2020,16800,2022,17417
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2020,16800,2021,17165
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2010,17535,2022,17417
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2010,17535,2021,17165
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2020,36699,2022,37393
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2020,36699,2021,37071
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2010,35293,2022,37393
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2010,35293,2021,37071
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2020,36699,2022,37393
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2020,36699,2021,37071
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2010,35293,2022,37393
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2010,35293,2021,37071
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2020,36699,2022,37393
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2020,36699,2021,37071
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2010,35293,2022,37393
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2010,35293,2021,37071
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2020,50477,2022,51098
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2020,50477,2021,50592
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2010,52228,2022,51098
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2010,52228,2021,50592
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2020,50477,2022,51098
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2020,50477,2021,50592
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2010,52228,2022,51098
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2010,52228,2021,50592
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2020,50477,2022,51098
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2020,50477,2021,50592
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2010,52228,2022,51098
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2010,52228,2021,50592
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2020,39607,2022,40241
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2020,39607,2021,39912
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2010,38786,2022,40241
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2010,38786,2021,39912
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2020,39607,2022,40241
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2020,39607,2021,39912
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2010,38786,2022,40241
